time,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,wind_speed_10m_max,city,official_name,Month,is_train,humidity_avg,pressure_avg
1/01/2009,17.3,13.4,15.1,0,0,11.2,Hanoi,Hanoi,1,1,70,1025
2/01/2009,17.6,12.2,14.8,0,0,9.7,Hanoi,Hanoi,1,1,65,1025
3/01/2009,18.3,10.8,14.4,0,0,8.1,Hanoi,Hanoi,1,1,74,1022
4/01/2009,20.6,12.4,16.2,0,0,10.5,Hanoi,Hanoi,1,1,81,1018
5/01/2009,22.6,14.1,17.6,0.1,0.1,11.1,Hanoi,Hanoi,1,1,90,1017
6/01/2009,22.8,16.3,18.8,2.9,2.9,10.7,Hanoi,Hanoi,1,1,88,1018
7/01/2009,17.2,13.7,15.1,0,0,12.7,Hanoi,Hanoi,1,1,85,1023
8/01/2009,16.3,13,14.1,0,0,11.9,Hanoi,Hanoi,1,1,78,1026
9/01/2009,18.3,10.5,14.5,0,0,16.6,Hanoi,Hanoi,1,1,61,1029
10/01/2009,17.7,7.8,12.4,0,0,12.4,Hanoi,Hanoi,1,1,50,1027
11/01/2009,18.9,5.9,12.7,0,0,9.8,Hanoi,Hanoi,1,1,46,1024
12/01/2009,20.3,6.4,13.3,0,0,8.5,Hanoi,Hanoi,1,1,51,1028
13/01/2009,18.7,7.7,13.1,0,0,10.8,Hanoi,Hanoi,1,1,45,1030
14/01/2009,18.8,6.2,12.9,0,0,8.1,Hanoi,Hanoi,1,1,45,1029
15/01/2009,19.4,6.6,13.1,0,0,8.7,Hanoi,Hanoi,1,1,41,1027
16/01/2009,20.5,8.4,14,0,0,8.7,Hanoi,Hanoi,1,1,51,1024
17/01/2009,22.1,10.4,15.6,0,0,13,Hanoi,Hanoi,1,1,66,1020
18/01/2009,19.3,13.7,16.7,0.5,0.5,8.1,Hanoi,Hanoi,1,1,84,1018
19/01/2009,23.7,16.7,19.2,1.4,1.4,15.3,Hanoi,Hanoi,1,1,80,1015
20/01/2009,24.1,17.1,19.6,2,2,12.5,Hanoi,Hanoi,1,1,80,1014
21/01/2009,19.4,16.2,17.7,1.7,1.7,19.6,Hanoi,Hanoi,1,1,86,1018
22/01/2009,22.4,13.8,17.7,0,0,11.6,Hanoi,Hanoi,1,1,71,1015
23/01/2009,17.9,12.2,16.2,4.2,4.2,15.5,Hanoi,Hanoi,1,1,87,1018
24/01/2009,11.5,9.2,10.3,1.7,1.7,14.2,Hanoi,Hanoi,1,1,78,1025
25/01/2009,13.6,9.4,11.3,0,0,7,Hanoi,Hanoi,1,1,76,1021
26/01/2009,12.1,10.6,11.4,0.3,0.3,13.4,Hanoi,Hanoi,1,1,85,1021
27/01/2009,15.8,10.3,12.8,0,0,7.3,Hanoi,Hanoi,1,1,82,1021
28/01/2009,17.7,9.8,14.1,0,0,10,Hanoi,Hanoi,1,1,80,1017
29/01/2009,17.2,12.1,14.9,0,0,10.1,Hanoi,Hanoi,1,1,84,1018
30/01/2009,22.3,9.1,15.6,0,0,10.3,Hanoi,Hanoi,1,1,72,1017
31/01/2009,22.9,10.7,16.4,0,0,15,Hanoi,Hanoi,1,1,75,1016
1/02/2009,20.2,12.9,17,0,0,6,Hanoi,Hanoi,2,1,91,1018
2/02/2009,22.3,17.1,19.2,0.5,0.5,8.4,Hanoi,Hanoi,2,1,84,1017
3/02/2009,23.5,16.3,19.5,0,0,10.2,Hanoi,Hanoi,2,1,79,1016
4/02/2009,24.1,17.8,20.3,1.6,1.6,11.7,Hanoi,Hanoi,2,1,77,1016
