,time,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,wind_speed_10m_max,city,official_name
0,2009-01-01,17.3,13.4,15.1,0.0,0.0,11.2,Hanoi,Hanoi
1,2009-01-02,17.6,12.2,14.8,0.0,0.0,9.7,Hanoi,Hanoi
2,2009-01-03,18.3,10.8,14.4,0.0,0.0,8.1,Hanoi,Hanoi
3,2009-01-04,20.6,12.4,16.2,0.0,0.0,10.5,Hanoi,Hanoi
4,2009-01-05,22.6,14.1,17.6,0.1,0.1,11.1,Hanoi,Hanoi
5,2009-01-06,22.8,16.3,18.8,2.9,2.9,10.7,Hanoi,Hanoi
6,2009-01-07,17.2,13.7,15.1,0.0,0.0,12.7,Hanoi,Hanoi
7,2009-01-08,16.3,13.0,14.1,0.0,0.0,11.9,Hanoi,Hanoi
8,2009-01-09,18.3,10.5,14.5,0.0,0.0,16.6,Hanoi,Hanoi
9,2009-01-10,17.7,7.8,12.4,0.0,0.0,12.4,Hanoi,Hanoi
10,2009-01-11,18.9,5.9,12.7,0.0,0.0,9.8,Hanoi,Hanoi
11,2009-01-12,20.3,6.4,13.3,0.0,0.0,8.5,Hanoi,Hanoi
12,2009-01-13,18.7,7.7,13.1,0.0,0.0,10.8,Hanoi,Hanoi
13,2009-01-14,18.8,6.2,12.9,0.0,0.0,8.1,Hanoi,Hanoi
14,2009-01-15,19.4,6.6,13.1,0.0,0.0,8.7,Hanoi,Hanoi
15,2009-01-16,20.5,8.4,14.0,0.0,0.0,8.7,Hanoi,Hanoi
16,2009-01-17,22.1,10.4,15.6,0.0,0.0,13.0,Hanoi,Hanoi
17,2009-01-18,19.3,13.7,16.7,0.5,0.5,8.1,Hanoi,Hanoi
18,2009-01-19,23.7,16.7,19.2,1.4,1.4,15.3,Hanoi,Hanoi
19,2009-01-20,24.1,17.1,19.6,2.0,2.0,12.5,Hanoi,Hanoi
20,2009-01-21,19.4,16.2,17.7,1.7,1.7,19.6,Hanoi,Hanoi
21,2009-01-22,22.4,13.8,17.7,0.0,0.0,11.6,Hanoi,Hanoi
22,2009-01-23,17.9,12.2,16.2,4.2,4.2,15.5,Hanoi,Hanoi
23,2009-01-24,11.5,9.2,10.3,1.7,1.7,14.2,Hanoi,Hanoi
24,2009-01-25,13.6,9.4,11.3,0.0,0.0,7.0,Hanoi,Hanoi
25,2009-01-26,12.1,10.6,11.4,0.3,0.3,13.4,Hanoi,Hanoi
26,2009-01-27,15.8,10.3,12.8,0.0,0.0,7.3,Hanoi,Hanoi
27,2009-01-28,17.7,9.8,14.1,0.0,0.0,10.0,Hanoi,Hanoi
28,2009-01-29,17.2,12.1,14.9,0.0,0.0,10.1,Hanoi,Hanoi
29,2009-01-30,22.3,9.1,15.6,0.0,0.0,10.3,Hanoi,Hanoi
30,2009-01-31,22.9,10.7,16.4,0.0,0.0,15.0,Hanoi,Hanoi
31,2009-02-01,20.2,12.9,17.0,0.0,0.0,6.0,Hanoi,Hanoi
32,2009-02-02,22.3,17.1,19.2,0.5,0.5,8.4,Hanoi,Hanoi
33,2009-02-03,23.5,16.3,19.5,0.0,0.0,10.2,Hanoi,Hanoi
34,2009-02-04,24.1,17.8,20.3,1.6,1.6,11.7,Hanoi,Hanoi
35,2009-02-05,23.7,17.9,20.2,0.2,0.2,12.2,Hanoi,Hanoi
36,2009-02-06,25.3,16.3,20.1,0.0,0.0,11.0,Hanoi,Hanoi
37,2009-02-07,24.8,14.0,18.6,0.0,0.0,11.9,Hanoi,Hanoi
38,2009-02-08,24.2,16.5,19.6,0.0,0.0,9.4,Hanoi,Hanoi
39,2009-02-09,25.2,15.6,19.7,0.0,0.0,6.7,Hanoi,Hanoi
40,2009-02-10,27.2,15.1,20.7,0.0,0.0,9.8,Hanoi,Hanoi
41,2009-02-11,28.8,15.0,21.1,0.0,0.0,16.6,Hanoi,Hanoi
42,2009-02-12,30.9,17.8,23.3,0.0,0.0,14.1,Hanoi,Hanoi
43,2009-02-13,34.3,16.9,25.2,0.0,0.0,11.3,Hanoi,Hanoi
44,2009-02-14,31.9,16.3,23.7,0.0,0.0,13.7,Hanoi,Hanoi
45,2009-02-15,30.6,19.2,23.8,0.0,0.0,13.0,Hanoi,Hanoi
46,2009-02-16,29.9,21.2,24.4,0.6,0.6,18.9,Hanoi,Hanoi
47,2009-02-17,27.1,21.1,23.4,3.4,3.4,21.2,Hanoi,Hanoi
48,2009-02-18,27.8,20.8,23.0,1.2,1.2,20.1,Hanoi,Hanoi
49,2009-02-19,29.6,21.8,24.4,0.9,0.9,17.8,Hanoi,Hanoi
50,2009-02-20,22.8,17.5,20.2,3.5,3.5,21.4,Hanoi,Hanoi
51,2009-02-21,24.3,18.0,20.8,0.2,0.2,14.9,Hanoi,Hanoi
52,2009-02-22,31.3,21.4,25.1,0.0,0.0,12.0,Hanoi,Hanoi
53,2009-02-23,32.2,20.9,25.7,0.0,0.0,11.8,Hanoi,Hanoi
54,2009-02-24,32.9,21.8,26.4,0.0,0.0,17.0,Hanoi,Hanoi
55,2009-02-25,31.8,22.4,25.9,0.0,0.0,17.1,Hanoi,Hanoi
56,2009-02-26,29.1,23.3,25.2,0.4,0.4,19.9,Hanoi,Hanoi
57,2009-02-27,27.8,22.4,24.6,0.9,0.9,19.5,Hanoi,Hanoi
58,2009-02-28,25.0,18.2,22.0,5.4,5.4,13.4,Hanoi,Hanoi
59,2009-03-01,17.8,15.4,16.3,2.8,2.8,11.3,Hanoi,Hanoi
60,2009-03-02,16.8,14.8,15.7,4.2,4.2,10.2,Hanoi,Hanoi
61,2009-03-03,19.9,15.1,17.2,1.1,1.1,7.3,Hanoi,Hanoi
62,2009-03-04,22.5,16.9,19.5,2.5,2.5,8.4,Hanoi,Hanoi
63,2009-03-05,23.7,15.8,19.7,1.5,1.5,19.7,Hanoi,Hanoi
64,2009-03-06,18.5,15.6,16.6,0.3,0.3,13.0,Hanoi,Hanoi
65,2009-03-07,18.7,14.3,16.5,0.0,0.0,9.8,Hanoi,Hanoi
66,2009-03-08,19.9,15.1,17.5,0.0,0.0,6.5,Hanoi,Hanoi
67,2009-03-09,23.8,16.3,19.3,0.4,0.4,10.9,Hanoi,Hanoi
68,2009-03-10,24.7,15.1,20.1,0.0,0.0,13.0,Hanoi,Hanoi
69,2009-03-11,28.2,19.9,23.1,1.0,1.0,11.6,Hanoi,Hanoi
70,2009-03-12,28.9,22.2,24.6,0.5,0.5,15.0,Hanoi,Hanoi
71,2009-03-13,24.0,17.4,20.5,11.2,11.2,37.9,Hanoi,Hanoi
72,2009-03-14,21.5,12.8,17.0,0.0,0.0,13.2,Hanoi,Hanoi
73,2009-03-15,23.0,10.9,17.0,0.0,0.0,12.7,Hanoi,Hanoi
74,2009-03-16,24.3,13.6,19.2,0.0,0.0,13.9,Hanoi,Hanoi
75,2009-03-17,26.2,19.6,22.1,0.9,0.9,13.2,Hanoi,Hanoi
76,2009-03-18,29.0,21.5,24.4,0.0,0.0,11.8,Hanoi,Hanoi
77,2009-03-19,28.9,21.3,24.4,0.4,0.4,12.7,Hanoi,Hanoi
78,2009-03-20,28.2,23.0,25.0,3.6,3.6,16.5,Hanoi,Hanoi
79,2009-03-21,32.3,22.9,26.5,0.0,0.0,16.0,Hanoi,Hanoi
80,2009-03-22,33.1,22.0,27.1,0.0,0.0,11.2,Hanoi,Hanoi
81,2009-03-23,33.9,21.6,27.6,0.0,0.0,12.7,Hanoi,Hanoi
82,2009-03-24,25.8,23.5,24.6,0.3,0.3,13.6,Hanoi,Hanoi
83,2009-03-25,24.0,21.6,22.7,4.7,4.7,12.8,Hanoi,Hanoi
84,2009-03-26,25.9,20.6,22.8,0.5,0.5,13.5,Hanoi,Hanoi
85,2009-03-27,31.8,21.9,25.9,0.0,0.0,13.6,Hanoi,Hanoi
86,2009-03-28,32.4,21.5,26.4,0.4,0.4,9.4,Hanoi,Hanoi
87,2009-03-29,25.4,19.6,22.8,0.7,0.7,22.0,Hanoi,Hanoi
88,2009-03-30,22.9,18.0,21.2,2.0,2.0,12.5,Hanoi,Hanoi
89,2009-03-31,20.0,17.1,18.5,4.0,4.0,9.3,Hanoi,Hanoi
90,2009-04-01,18.3,16.4,17.2,19.4,19.4,9.1,Hanoi,Hanoi
91,2009-04-02,19.4,15.7,17.6,8.3,8.3,8.7,Hanoi,Hanoi
92,2009-04-03,23.5,18.0,20.8,1.1,1.1,12.9,Hanoi,Hanoi
93,2009-04-04,28.1,21.2,24.1,0.4,0.4,11.6,Hanoi,Hanoi
94,2009-04-05,22.7,19.8,21.3,7.5,7.5,17.1,Hanoi,Hanoi
95,2009-04-06,23.8,18.5,20.6,0.0,0.0,9.2,Hanoi,Hanoi
96,2009-04-07,25.2,16.7,21.0,0.0,0.0,11.8,Hanoi,Hanoi
97,2009-04-08,25.2,18.4,21.9,0.6,0.6,12.8,Hanoi,Hanoi
98,2009-04-09,28.1,21.1,24.0,0.3,0.3,17.9,Hanoi,Hanoi
99,2009-04-10,28.1,22.4,24.5,6.3,6.3,17.3,Hanoi,Hanoi
100,2009-04-11,29.2,22.8,25.0,2.4,2.4,18.8,Hanoi,Hanoi
101,2009-04-12,30.9,23.3,26.3,0.0,0.0,13.7,Hanoi,Hanoi
102,2009-04-13,31.1,22.9,25.9,2.8,2.8,10.5,Hanoi,Hanoi
103,2009-04-14,30.2,23.3,26.0,3.5,3.5,10.2,Hanoi,Hanoi
104,2009-04-15,29.3,23.1,26.0,0.0,0.0,12.1,Hanoi,Hanoi
105,2009-04-16,31.0,23.1,26.7,0.0,0.0,9.0,Hanoi,Hanoi
106,2009-04-17,30.3,23.5,26.6,0.0,0.0,17.6,Hanoi,Hanoi
107,2009-04-18,33.5,24.5,28.4,0.0,0.0,14.9,Hanoi,Hanoi
108,2009-04-19,35.2,24.5,29.7,0.4,0.4,13.2,Hanoi,Hanoi
109,2009-04-20,31.4,23.5,27.4,3.8,3.8,15.2,Hanoi,Hanoi
110,2009-04-21,30.9,22.1,26.7,0.0,0.0,11.2,Hanoi,Hanoi
111,2009-04-22,31.3,22.7,26.6,0.0,0.0,17.7,Hanoi,Hanoi
112,2009-04-23,32.7,24.2,27.7,0.0,0.0,14.3,Hanoi,Hanoi
113,2009-04-24,33.2,24.7,28.5,11.1,11.1,15.0,Hanoi,Hanoi
114,2009-04-25,27.0,21.6,23.8,15.7,15.7,15.0,Hanoi,Hanoi
115,2009-04-26,28.3,20.2,24.1,0.0,0.0,14.1,Hanoi,Hanoi
116,2009-04-27,27.4,18.7,23.4,0.0,0.0,15.0,Hanoi,Hanoi
117,2009-04-28,25.1,22.0,23.4,3.0,3.0,13.8,Hanoi,Hanoi
118,2009-04-29,25.6,22.4,23.4,20.7,20.7,13.3,Hanoi,Hanoi
119,2009-04-30,25.7,22.1,23.8,2.2,2.2,18.2,Hanoi,Hanoi
120,2009-05-01,27.5,21.4,24.0,0.5,0.5,15.3,Hanoi,Hanoi
121,2009-05-02,28.5,21.0,24.7,0.0,0.0,11.5,Hanoi,Hanoi
122,2009-05-03,29.0,21.8,24.9,0.0,0.0,9.6,Hanoi,Hanoi
