time,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,wind_speed_10m_max,city,official_name
2009-01-01,24.8,22.0,22.9,26.9,26.9,11.4,Nha Trang,Nha Trang
2009-01-02,23.5,22.0,22.5,18.9,18.9,13.2,Nha Trang,Nha Trang
2009-01-03,23.1,21.7,22.3,9.9,9.9,9.8,Nha Trang,Nha Trang
2009-01-04,24.3,21.6,22.7,4.6,4.6,9.8,Nha Trang,Nha Trang
2009-01-05,25.6,21.9,23.4,0.3,0.3,10.6,Nha Trang,Nha Trang
2009-01-06,25.4,22.5,23.6,1.8,1.8,10.5,Nha Trang,Nha Trang
2009-01-07,25.4,22.4,23.7,0.1,0.1,14.3,Nha Trang,Nha Trang
2009-01-08,24.8,21.8,22.9,0.0,0.0,16.2,Nha Trang,Nha Trang
2009-01-09,23.6,20.3,21.9,0.3,0.3,17.9,Nha Trang,Nha Trang
2009-01-10,22.3,19.9,20.8,0.0,0.0,17.2,Nha Trang,Nha Trang
2009-01-11,23.0,19.1,21.0,0.0,0.0,14.4,Nha Trang,Nha Trang
2009-01-12,23.5,20.3,21.6,0.0,0.0,15.2,Nha Trang,Nha Trang
2009-01-13,23.7,20.3,21.4,0.3,0.3,17.6,Nha Trang,Nha Trang
2009-01-14,22.7,19.9,20.9,0.8,0.8,17.0,Nha Trang,Nha Trang
2009-01-15,22.6,19.6,20.9,0.1,0.1,14.6,Nha Trang,Nha Trang
2009-01-16,23.4,20.0,21.4,0.2,0.2,14.3,Nha Trang,Nha Trang
2009-01-17,24.6,19.6,21.8,0.0,0.0,12.0,Nha Trang,Nha Trang
2009-01-18,24.7,19.7,22.0,0.0,0.0,11.1,Nha Trang,Nha Trang
2009-01-19,25.1,19.5,22.0,0.0,0.0,9.0,Nha Trang,Nha Trang
2009-01-20,25.1,19.0,21.7,0.0,0.0,8.7,Nha Trang,Nha Trang
2009-01-21,26.1,20.1,22.7,0.0,0.0,9.0,Nha Trang,Nha Trang
2009-01-22,25.5,21.1,22.9,0.0,0.0,8.5,Nha Trang,Nha Trang
2009-01-23,25.9,20.9,23.0,0.0,0.0,9.4,Nha Trang,Nha Trang
2009-01-24,24.4,21.8,22.8,1.4,1.4,14.0,Nha Trang,Nha Trang
2009-01-25,23.7,21.6,22.4,1.4,1.4,11.8,Nha Trang,Nha Trang
2009-01-26,25.3,20.8,22.6,0.2,0.2,9.8,Nha Trang,Nha Trang
2009-01-27,24.5,19.7,22.1,0.3,0.3,12.2,Nha Trang,Nha Trang
2009-01-28,25.4,20.3,22.5,0.0,0.0,12.0,Nha Trang,Nha Trang
2009-01-29,26.2,20.4,22.8,0.0,0.0,10.2,Nha Trang,Nha Trang
2009-01-30,24.9,20.7,22.4,0.0,0.0,13.4,Nha Trang,Nha Trang
2009-01-31,25.4,19.6,22.1,0.0,0.0,10.5,Nha Trang,Nha Trang
2009-02-01,25.1,20.2,22.1,0.0,0.0,11.4,Nha Trang,Nha Trang
2009-02-02,26.4,20.3,22.8,0.0,0.0,11.0,Nha Trang,Nha Trang
2009-02-03,26.2,21.4,23.3,0.0,0.0,11.2,Nha Trang,Nha Trang
2009-02-04,25.4,21.2,22.8,0.0,0.0,12.0,Nha Trang,Nha Trang
2009-02-05,25.9,20.2,22.9,0.0,0.0,13.1,Nha Trang,Nha Trang
2009-02-06,25.3,20.8,22.8,0.0,0.0,15.1,Nha Trang,Nha Trang
2009-02-07,25.3,21.2,22.9,0.0,0.0,14.5,Nha Trang,Nha Trang
2009-02-08,27.2,20.8,23.5,0.0,0.0,10.6,Nha Trang,Nha Trang
2009-02-09,25.4,21.7,23.5,0.0,0.0,8.4,Nha Trang,Nha Trang
2009-02-10,25.8,23.0,23.9,3.1,3.1,9.3,Nha Trang,Nha Trang
2009-02-11,26.0,22.4,23.7,1.7,1.7,7.9,Nha Trang,Nha Trang
2009-02-12,27.9,21.8,24.5,2.9,2.9,8.0,Nha Trang,Nha Trang
2009-02-13,29.1,22.3,25.5,0.9,0.9,7.0,Nha Trang,Nha Trang
2009-02-14,29.1,23.4,25.8,2.6,2.6,5.6,Nha Trang,Nha Trang
2009-02-15,28.8,23.5,25.5,0.0,0.0,7.7,Nha Trang,Nha Trang
2009-02-16,28.9,22.6,25.3,0.0,0.0,8.5,Nha Trang,Nha Trang
2009-02-17,28.4,23.4,25.3,0.1,0.1,10.0,Nha Trang,Nha Trang
2009-02-18,27.1,24.2,25.3,2.3,2.3,8.9,Nha Trang,Nha Trang
2009-02-19,29.1,23.2,25.7,0.4,0.4,8.1,Nha Trang,Nha Trang
2009-02-20,28.7,23.8,25.9,0.0,0.0,8.7,Nha Trang,Nha Trang
2009-02-21,28.4,23.8,25.5,0.1,0.1,8.3,Nha Trang,Nha Trang
2009-02-22,29.6,23.2,25.9,0.0,0.0,8.0,Nha Trang,Nha Trang
2009-02-23,30.6,22.6,26.2,0.0,0.0,8.7,Nha Trang,Nha Trang
2009-02-24,30.0,23.1,26.2,0.0,0.0,8.6,Nha Trang,Nha Trang
2009-02-25,30.3,23.1,26.3,0.0,0.0,8.4,Nha Trang,Nha Trang
2009-02-26,30.3,23.3,26.3,0.2,0.2,9.3,Nha Trang,Nha Trang
2009-02-27,29.4,24.0,26.3,1.9,1.9,8.5,Nha Trang,Nha Trang
2009-02-28,28.4,24.1,25.8,0.8,0.8,8.4,Nha Trang,Nha Trang
2009-03-01,27.7,23.2,25.1,3.6,3.6,8.9,Nha Trang,Nha Trang
2009-03-02,28.4,23.4,25.5,1.4,1.4,10.9,Nha Trang,Nha Trang
2009-03-03,27.3,24.1,25.4,2.0,2.0,9.5,Nha Trang,Nha Trang
2009-03-04,28.3,24.7,26.1,3.4,3.4,7.4,Nha Trang,Nha Trang
2009-03-05,29.7,24.0,26.7,0.5,0.5,6.7,Nha Trang,Nha Trang
2009-03-06,30.0,24.4,27.1,3.0,3.0,7.8,Nha Trang,Nha Trang
2009-03-07,28.9,24.3,26.0,2.0,2.0,7.9,Nha Trang,Nha Trang
2009-03-08,29.1,24.5,26.2,1.0,1.0,9.0,Nha Trang,Nha Trang
2009-03-09,28.5,24.1,25.9,1.4,1.4,11.0,Nha Trang,Nha Trang
2009-03-10,29.5,23.9,26.1,0.0,0.0,9.0,Nha Trang,Nha Trang
