time,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,wind_speed_10m_max,city,official_name
2021-01-01,17.2,8.1,12.3,0.0,0.0,14.8,Hanoi,Hanoi
2021-01-02,18.5,7.2,12.8,0.0,0.0,11.2,Hanoi,Hanoi
2021-01-03,18.9,8.0,13.9,0.0,0.0,11.4,Hanoi,Hanoi
2021-01-04,21.5,11.6,15.8,0.0,0.0,10.7,Hanoi,Hanoi
2021-01-05,21.1,10.3,16.1,0.0,0.0,9.8,Hanoi,Hanoi
2021-01-06,19.9,15.7,17.5,0.0,0.0,12.6,Hanoi,Hanoi
2021-01-07,16.6,11.2,14.5,0.0,0.0,17.8,Hanoi,Hanoi
2021-01-08,12.1,8.1,9.9,0.2,0.2,21.7,Hanoi,Hanoi
2021-01-09,12.9,8.1,10.3,0.0,0.0,14.2,Hanoi,Hanoi
2021-01-10,13.4,8.9,11.2,0.0,0.0,14.5,Hanoi,Hanoi
2021-01-11,15.6,9.0,12.0,0.1,0.1,23.7,Hanoi,Hanoi
2021-01-12,17.4,7.2,12.4,0.0,0.0,15.9,Hanoi,Hanoi
2021-01-13,20.6,9.3,14.9,0.0,0.0,15.8,Hanoi,Hanoi
2021-01-14,21.6,10.1,15.6,0.0,0.0,11.8,Hanoi,Hanoi
2021-01-15,20.4,11.6,16.1,0.0,0.0,11.2,Hanoi,Hanoi
2021-01-16,21.1,16.2,18.2,0.2,0.2,9.4,Hanoi,Hanoi
2021-01-17,17.1,13.1,15.1,4.4,4.4,27.9,Hanoi,Hanoi
2021-01-18,19.1,9.5,14.2,0.0,0.0,16.2,Hanoi,Hanoi
2021-01-19,22.0,8.4,14.8,0.0,0.0,17.3,Hanoi,Hanoi
2021-01-20,21.4,10.8,16.3,0.0,0.0,11.6,Hanoi,Hanoi
2021-01-21,21.2,15.4,17.9,0.5,0.5,10.5,Hanoi,Hanoi
2021-01-22,23.4,14.6,19.2,0.0,0.0,7.6,Hanoi,Hanoi
2021-01-23,24.6,14.3,19.3,0.0,0.0,13.5,Hanoi,Hanoi
2021-01-24,25.5,15.2,19.7,0.0,0.0,19.6,Hanoi,Hanoi
2021-01-25,23.9,19.0,20.7,5.4,5.4,16.3,Hanoi,Hanoi
2021-01-26,25.1,17.0,20.4,0.6,0.6,15.3,Hanoi,Hanoi
2021-01-27,23.0,16.4,19.5,0.0,0.0,16.1,Hanoi,Hanoi
2021-01-28,18.9,16.6,17.8,1.5,1.5,21.9,Hanoi,Hanoi
2021-01-29,22.8,14.6,18.2,0.0,0.0,13.8,Hanoi,Hanoi
2021-01-30,21.5,14.6,18.1,0.8,0.8,12.8,Hanoi,Hanoi
2021-01-31,21.5,16.2,18.8,2.4,2.4,16.8,Hanoi,Hanoi
2021-02-01,25.1,17.9,20.4,0.2,0.2,17.3,Hanoi,Hanoi
2021-02-02,23.9,16.9,19.7,0.7,0.7,14.0,Hanoi,Hanoi
2021-02-03,25.4,16.8,20.3,0.0,0.0,15.2,Hanoi,Hanoi
2021-02-04,24.8,17.1,20.1,0.7,0.7,12.2,Hanoi,Hanoi
2021-02-05,25.2,16.5,20.2,0.1,0.1,13.0,Hanoi,Hanoi
2021-02-06,25.4,16.2,20.1,0.0,0.0,11.8,Hanoi,Hanoi
2021-02-07,26.2,16.9,21.3,0.0,0.0,13.0,Hanoi,Hanoi
2021-02-08,25.4,17.9,20.6,11.2,11.2,11.7,Hanoi,Hanoi
2021-02-09,17.7,13.9,16.6,35.7,35.7,19.4,Hanoi,Hanoi
2021-02-10,22.8,11.9,17.2,0.0,0.0,12.2,Hanoi,Hanoi
2021-02-11,23.2,13.4,18.1,0.0,0.0,12.1,Hanoi,Hanoi
2021-02-12,22.7,15.0,18.4,0.0,0.0,9.9,Hanoi,Hanoi
2021-02-13,24.4,14.0,19.0,0.0,0.0,13.3,Hanoi,Hanoi
2021-02-14,24.9,15.9,20.0,0.0,0.0,12.8,Hanoi,Hanoi
2021-02-15,25.2,16.5,20.7,0.4,0.4,16.1,Hanoi,Hanoi
2021-02-16,24.9,18.2,21.1,1.3,1.3,15.0,Hanoi,Hanoi
2021-02-17,21.3,17.4,19.3,1.4,1.4,17.6,Hanoi,Hanoi
2021-02-18,23.7,17.9,20.1,0.0,0.0,8.1,Hanoi,Hanoi
2021-02-19,24.4,17.2,20.4,0.0,0.0,9.5,Hanoi,Hanoi
2021-02-20,25.9,14.9,19.7,0.0,0.0,12.1,Hanoi,Hanoi
2021-02-21,27.8,15.4,20.8,0.0,0.0,21.5,Hanoi,Hanoi
2021-02-22,25.2,17.8,21.2,0.5,0.5,16.1,Hanoi,Hanoi
2021-02-23,26.0,18.0,21.8,0.2,0.2,13.9,Hanoi,Hanoi
2021-02-24,26.6,18.9,22.2,0.1,0.1,23.6,Hanoi,Hanoi
2021-02-25,29.2,20.0,23.2,1.0,1.0,20.4,Hanoi,Hanoi
2021-02-26,27.0,20.6,23.2,3.4,3.4,15.0,Hanoi,Hanoi
2021-02-27,19.2,16.5,17.8,5.3,5.3,20.7,Hanoi,Hanoi
2021-02-28,21.0,17.0,18.6,5.5,5.5,7.9,Hanoi,Hanoi
2021-03-01,25.9,19.8,21.9,5.4,5.4,23.7,Hanoi,Hanoi
2021-03-02,19.7,16.9,18.6,0.7,0.7,18.3,Hanoi,Hanoi
2021-03-03,19.7,16.5,17.9,6.5,6.5,8.7,Hanoi,Hanoi
2021-03-04,21.1,15.9,18.3,1.0,1.0,10.7,Hanoi,Hanoi
2021-03-05,25.4,18.2,21.2,0.3,0.3,13.5,Hanoi,Hanoi
2021-03-06,28.6,21.1,23.8,0.4,0.4,13.1,Hanoi,Hanoi
2021-03-07,22.1,18.9,20.7,5.0,5.0,21.4,Hanoi,Hanoi
2021-03-08,26.1,19.9,22.4,1.8,1.8,18.8,Hanoi,Hanoi
2021-03-09,27.4,20.9,23.1,0.9,0.9,24.0,Hanoi,Hanoi
2021-03-10,26.8,20.9,23.3,2.3,2.3,24.2,Hanoi,Hanoi
2021-03-11,26.0,20.9,23.2,2.1,2.1,19.5,Hanoi,Hanoi
2021-03-12,27.1,19.9,23.0,0.7,0.7,16.1,Hanoi,Hanoi
2021-03-13,25.8,20.0,22.6,1.4,1.4,13.7,Hanoi,Hanoi
2021-03-14,26.7,19.0,22.4,0.3,0.3,15.3,Hanoi,Hanoi
2021-03-15,26.5,20.4,23.4,0.6,0.6,21.0,Hanoi,Hanoi
2021-03-16,27.2,21.7,23.6,1.3,1.3,18.9,Hanoi,Hanoi
2021-03-17,27.5,22.0,24.1,1.8,1.8,19.6,Hanoi,Hanoi
2021-03-18,27.9,22.0,24.3,0.9,0.9,16.7,Hanoi,Hanoi
2021-03-19,28.2,22.7,25.0,0.8,0.8,20.3,Hanoi,Hanoi
2021-03-20,27.8,23.3,24.9,1.3,1.3,16.9,Hanoi,Hanoi
